Algoritmo;Tipo;Duração (ms);Tamanho do array;Quant. de threads
Mergesort Serial;SERIAL;0.3185;1000;1
Mergesort Paralelo;PARALELO;2.1906;1000;2
Countsort Serial;SERIAL;0.1291;1000;1
Countsort Paralelo;PARALELO;14.7231;1000;2
Mergesort Serial;SERIAL;0.1906;1000;1
Mergesort Paralelo;PARALELO;0.6715;1000;4
Countsort Serial;SERIAL;0.1576;1000;1
Countsort Paralelo;PARALELO;1.1778;1000;4
Mergesort Serial;SERIAL;0.1908;1000;1
Mergesort Paralelo;PARALELO;0.4395;1000;8
Countsort Serial;SERIAL;0.1097;1000;1
Countsort Paralelo;PARALELO;1.6561;1000;8
Mergesort Serial;SERIAL;0.3587;1000;1
Mergesort Paralelo;PARALELO;0.8242;1000;16
Countsort Serial;SERIAL;0.2004;1000;1
Countsort Paralelo;PARALELO;2.5749;1000;16
Mergesort Serial;SERIAL;0.1908;1000;1
Mergesort Paralelo;PARALELO;1.3820;1000;24
Countsort Serial;SERIAL;0.2341;1000;1
Countsort Paralelo;PARALELO;2.8529;1000;24
Mergesort Serial;SERIAL;0.2427;1000;1
Mergesort Paralelo;PARALELO;0.7536;1000;32
Countsort Serial;SERIAL;0.0717;1000;1
Countsort Paralelo;PARALELO;2.8343;1000;32
Mergesort Serial;SERIAL;0.8341;10000;1
Mergesort Paralelo;PARALELO;2.6793;10000;2
Countsort Serial;SERIAL;1.2045;10000;1
Countsort Paralelo;PARALELO;3.1874;10000;2
Mergesort Serial;SERIAL;1.2993;10000;1
Mergesort Paralelo;PARALELO;2.4991;10000;4
Countsort Serial;SERIAL;0.6866;10000;1
Countsort Paralelo;PARALELO;3.1583;10000;4
Mergesort Serial;SERIAL;1.3186;10000;1
Mergesort Paralelo;PARALELO;1.8138;10000;8
Countsort Serial;SERIAL;0.4784;10000;1
Countsort Paralelo;PARALELO;2.0228;10000;8
Mergesort Serial;SERIAL;1.1146;10000;1
Mergesort Paralelo;PARALELO;2.0087;10000;16
Countsort Serial;SERIAL;0.4638;10000;1
Countsort Paralelo;PARALELO;5.7414;10000;16
Mergesort Serial;SERIAL;1.4487;10000;1
Mergesort Paralelo;PARALELO;1.9260;10000;24
Countsort Serial;SERIAL;0.3094;10000;1
Countsort Paralelo;PARALELO;2.2839;10000;24
Mergesort Serial;SERIAL;1.2176;10000;1
Mergesort Paralelo;PARALELO;1.9339;10000;32
Countsort Serial;SERIAL;0.4820;10000;1
Countsort Paralelo;PARALELO;3.1171;10000;32
Mergesort Serial;SERIAL;12.1662;100000;1
Mergesort Paralelo;PARALELO;10.4611;100000;2
Countsort Serial;SERIAL;1.6099;100000;1
Countsort Paralelo;PARALELO;14.0127;100000;2
Mergesort Serial;SERIAL;14.7578;100000;1
Mergesort Paralelo;PARALELO;9.9755;100000;4
Countsort Serial;SERIAL;1.5088;100000;1
Countsort Paralelo;PARALELO;5.1369;100000;4
Mergesort Serial;SERIAL;9.2510;100000;1
Mergesort Paralelo;PARALELO;5.1673;100000;8
Countsort Serial;SERIAL;1.1955;100000;1
Countsort Paralelo;PARALELO;5.3129;100000;8
Mergesort Serial;SERIAL;13.1493;100000;1
Mergesort Paralelo;PARALELO;5.7346;100000;16
Countsort Serial;SERIAL;0.8660;100000;1
Countsort Paralelo;PARALELO;5.0440;100000;16
Mergesort Serial;SERIAL;7.9424;100000;1
Mergesort Paralelo;PARALELO;4.5359;100000;24
Countsort Serial;SERIAL;1.7812;100000;1
Countsort Paralelo;PARALELO;9.4764;100000;24
Mergesort Serial;SERIAL;10.0575;100000;1
Mergesort Paralelo;PARALELO;4.9612;100000;32
Countsort Serial;SERIAL;1.6367;100000;1
Countsort Paralelo;PARALELO;10.0544;100000;32
Mergesort Serial;SERIAL;93.9518;1000000;1
Mergesort Paralelo;PARALELO;56.4188;1000000;2
Countsort Serial;SERIAL;17.7334;1000000;1
Countsort Paralelo;PARALELO;23.5622;1000000;2
Mergesort Serial;SERIAL;89.5195;1000000;1
Mergesort Paralelo;PARALELO;36.1644;1000000;4
Countsort Serial;SERIAL;17.0907;1000000;1
Countsort Paralelo;PARALELO;29.3701;1000000;4
Mergesort Serial;SERIAL;90.9186;1000000;1
Mergesort Paralelo;PARALELO;30.5010;1000000;8
Countsort Serial;SERIAL;16.5935;1000000;1
Countsort Paralelo;PARALELO;36.4915;1000000;8
Mergesort Serial;SERIAL;97.4789;1000000;1
Mergesort Paralelo;PARALELO;31.1212;1000000;16
Countsort Serial;SERIAL;22.0262;1000000;1
Countsort Paralelo;PARALELO;49.8992;1000000;16
Mergesort Serial;SERIAL;98.7740;1000000;1
Mergesort Paralelo;PARALELO;28.1899;1000000;24
Countsort Serial;SERIAL;17.0484;1000000;1
Countsort Paralelo;PARALELO;57.3371;1000000;24
Mergesort Serial;SERIAL;89.1947;1000000;1
Mergesort Paralelo;PARALELO;30.0835;1000000;32
Countsort Serial;SERIAL;24.5943;1000000;1
Countsort Paralelo;PARALELO;110.5729;1000000;32
Mergesort Serial;SERIAL;1056.7215;10000000;1
Mergesort Paralelo;PARALELO;586.1963;10000000;2
Countsort Serial;SERIAL;402.9002;10000000;1
Countsort Paralelo;PARALELO;582.9060;10000000;2
Mergesort Serial;SERIAL;1053.5108;10000000;1
Mergesort Paralelo;PARALELO;416.5414;10000000;4
Countsort Serial;SERIAL;416.9927;10000000;1
Countsort Paralelo;PARALELO;406.8461;10000000;4
Mergesort Serial;SERIAL;1096.3792;10000000;1
Mergesort Paralelo;PARALELO;351.5833;10000000;8
Countsort Serial;SERIAL;806.8389;10000000;1
Countsort Paralelo;PARALELO;780.9838;10000000;8
Mergesort Serial;SERIAL;1405.3015;10000000;1
Mergesort Paralelo;PARALELO;330.9199;10000000;16
Countsort Serial;SERIAL;616.1698;10000000;1
Countsort Paralelo;PARALELO;1080.3936;10000000;16
Mergesort Serial;SERIAL;1297.6307;10000000;1
Mergesort Paralelo;PARALELO;449.1545;10000000;24
Countsort Serial;SERIAL;457.5570;10000000;1
Countsort Paralelo;PARALELO;896.4654;10000000;24
Mergesort Serial;SERIAL;1289.5335;10000000;1
Mergesort Paralelo;PARALELO;381.2365;10000000;32
Countsort Serial;SERIAL;433.8661;10000000;1
Countsort Paralelo;PARALELO;1804.1220;10000000;32
